GARCIA,1484607,1498937,82190
GONZALEZ,935931,941809,43028
RODRIGUEZ,933764,938533,44459
FERNANDEZ,928656,937259,53978
LOPEZ,879868,884271,36070
MARTINEZ,841250,844743,40333
SANCHEZ,822946,829357,35769
PEREZ,786515,797298,27396
GOMEZ,495718,498190,14527
MARTIN,494251,491448,22334
JIMENEZ,391726,390617,22013
RUIZ,369817,373941,9083
HERNANDEZ,359909,362811,15480
DIAZ,341053,341815,8765
MORENO,320049,320796,10251
ALVAREZ,286166,285435,10761
MUÑOZ,283083,282699,7063
ROMERO,220176,220008,4731
ALONSO,200495,199028,5245
GUTIERREZ,195956,197799,4229
NAVARRO,178872,176395,3675
TORRES,169077,168307,4004
DOMINGUEZ,158906,160265,3560
VAZQUEZ,149543,149625,3829
RAMOS,145328,144679,2438
GIL,141953,141584,2333
RAMIREZ,134590,134723,2390
SERRANO,132678,132632,2090
BLANCO,124778,124896,2067
SUAREZ,121419,123433,3534
MOLINA,121261,121567,2159
MORALES,120268,120767,1927
ORTEGA,118229,117667,1716
DELGADO,117312,117205,1788
CASTRO,116398,117129,1937
ORTIZ,107489,108167,1465
RUBIO,105555,106265,1595
MARIN,104868,101278,1794
SANZ,94887,93467,2584
NUÑEZ,90572,90009,1538
IGLESIAS,90546,90118,1683
MEDINA,87215,87108,1593
GARRIDO,86008,86968,1442
SANTOS,84476,85093,1182
CASTILLO,83553,83529,1358
CORTES,83102,83336,5680
LOZANO,80064,80411,1341
GUERRERO,78735,79366,1056
CANO,77654,77298,1486
PRIETO,74609,73355,1161
MENDEZ,72578,73193,1461
CALVO,71149,71601,1175
CRUZ,70191,71389,922
GALLEGO,70147,70110,875
VIDAL,70010,68826,1085
LEON,69148,69584,1088
HERRERA,68658,68797,1209
MARQUEZ,68536,68728,996
PEÑA,68442,68951,1128
CABRERA,67939,67077,1467
FLORES,67636,68122,1727
CAMPOS,66130,66561,887
VEGA,65050,65885,1065
DIEZ,64444,65376,1441
FUENTES,64223,64630,674
CARRASCO,63125,62660,784
CABALLERO,60882,62638,870
NIETO,60682,60705,781
REYES,59224,59971,1277
AGUILAR,59208,58729,696
PASCUAL,59016,57653,787
HERRERO,58390,57044,925
SANTANA,57601,59177,3704
LORENZO,57254,57378,1090
HIDALGO,56556,57226,688
MONTERO,56380,56115,724
IBAÑEZ,55885,55052,649
GIMENEZ,55869,58778,2900
FERRER,55414,55083,838
DURAN,53912,53847,619
VICENTE,53097,52864,1187
BENITEZ,52664,52953,699
MORA,52570,51618,703
SANTIAGO,52560,51863,3410
ARIAS,52544,52709,914
VARGAS,51838,51285,1639
CARMONA,51452,52344,966
CRESPO,50221,49705,835
ROMAN,48790,47113,613
PASTOR,48676,48351,720
SOTO,48226,47549,457
SAEZ,47650,48443,858
VELASCO,47336,47011,629
SOLER,46403,45399,548
MOYA,46215,46298,691
ESTEBAN,45678,44987,630
PARRA,45340,45626,976
BRAVO,45305,45782,614
GALLARDO,44823,44742,674
ROJAS,44394,44071,669
PARDO,43987,43117,984
MERINO,43491,43708,555
FRANCO,42390,41496,576
ESPINOSA,41661,41094,418
IZQUIERDO,41653,41898,625
LARA,41549,41048,525
RIVAS,41264,40786,482
SILVA,40790,40796,1074
RIVERA,40672,40426,396
CASADO,40610,40093,675
ARROYO,40413,40689,526
REDONDO,40408,41465,594
CAMACHO,40264,40122,564
REY,40154,40092,469
VERA,40085,39628,552
OTERO,39613,39290,797
LUQUE,39340,39612,712
GALAN,39334,38943,484
MONTES,39283,39599,510
RIOS,39153,39104,294
SIERRA,39050,39371,484
SEGURA,38660,38302,552
CARRILLO,38209,38046,570
MARCOS,37973,37022,486
MARTI,37611,35881,432
SORIANO,36962,36352,426
MENDOZA,36676,36839,849
ROBLES,36491,37089,551
BERNAL,36481,37236,524
VILA,36319,35247,509
VALERO,35878,35412,506
PALACIOS,35306,35089,419
EXPOSITO,35268,38664,448
BENITO,35004,35192,604
ANDRES,34921,35770,604
VARELA,34898,34674,814
PEREIRA,34852,31595,355
MACIAS,34710,34795,472
GUERRA,34649,35412,400
HEREDIA,34225,34262,3176
BUENO,34120,35295,470
ROLDAN,33841,33819,491
MATEO,33832,33965,392
VILLAR,33479,34185,522
CONTRERAS,33240,32507,575
MIRANDA,32952,32257,335
GUILLEN,32470,33030,423
MATEOS,32325,32213,621
ESCUDERO,31989,31645,580
AGUILERA,31768,31710,665
MENENDEZ,31694,32197,1383
CASAS,31556,29957,298
APARICIO,31192,30648,333
RIVERO,31001,30781,438
ESTEVEZ,30744,30621,573
BELTRAN,30645,30105,416
PADILLA,30523,30637,493
GRACIA,30380,30812,445
RICO,30326,30490,496
CALDERON,30308,29595,336
ABAD,30105,30147,358
GALVEZ,30053,29892,428
CONDE,29906,29428,455
SALAS,29771,29330,224
JURADO,29694,29163,328
QUINTANA,29651,30144,467
PLAZA,29493,29353,465
ACOSTA,29434,29286,534
ARANDA,29291,29183,422
